id,text,transcript,filename,tts_distance
359,the italian got her words mixed up,the italian got her words mixed up,audio_generated/tts2024-03-13--08-38-57/the italian got her words mixed up.wav,0
360,and find out where the nearest telegraph office is,and find out where the nearest telegraph offices,audio_generated/tts2024-03-13--08-38-57/and find out where the nearest telegraph office is.wav,2
361,i always have been,i always have been,audio_generated/tts2024-03-13--08-38-57/i always have been.wav,0
362,of course this only reduces the severity of the problem,of course this only reduces the severity of the problem,audio_generated/tts2024-03-13--08-38-57/of course this only reduces the severity of the problem.wav,0
363,then why do you suppose he hasnt at least called up,then why do you suppose he has at least coal,audio_generated/tts2024-03-13--08-38-57/then why do you suppose he hasnt at least called up.wav,9
364,im already used to the way things are,in already used to the way things are used,audio_generated/tts2024-03-13--08-38-57/im already used to the way things are.wav,6
365,the process of encrypting the hash value of a message is called digital signature,the process of encrypting the hash value a message is called digital signature,audio_generated/tts2024-03-13--08-38-57/the process of encrypting the hash value of a message is called digital signature.wav,3
366,my wife pointed out to me the brightness of the red green and yellow signal lights,my wife pointed out to me the brightness of the red green and yellow signal life,audio_generated/tts2024-03-13--08-38-57/my wife pointed out to me the brightness of the red green and yellow signal lights.wav,4
367,the boss sent me over with it,the bus sent me over with it,audio_generated/tts2024-03-13--08-38-57/the boss sent me over with it.wav,2
368,it sounded like a gypsy prayer,it sounded like a gypsy pro,audio_generated/tts2024-03-13--08-38-57/it sounded like a gypsy prayer.wav,4
369,i wont shut up,i will shut up,audio_generated/tts2024-03-13--08-38-57/i wont shut up.wav,3
370,the two men hurried back and found the cylinder still lying in the same position,the two men hurried back and found the cylinder still lying in the same position,audio_generated/tts2024-03-13--08-38-57/the two men hurried back and found the cylinder still lying in the same position.wav,0
371,my mind ran on the possibilities of its content,my mind ran on the possibilities of its content,audio_generated/tts2024-03-13--08-38-57/my mind ran on the possibilities of its content.wav,0
372,he began to dig at the base of the sycamore,even again to dig out the base of the sicker moron,audio_generated/tts2024-03-13--08-38-57/he began to dig at the base of the sycamore.wav,15
373,it had a diameter of about thirty yards,it had a diameter of about 30 g,audio_generated/tts2024-03-13--08-38-57/it had a diameter of about thirty yards.wav,11
374,but arms cannot be drawn unless they also go into battle,but arms cannot be drawn unless they also go into bat batting,audio_generated/tts2024-03-13--08-38-57/but arms cannot be drawn unless they also go into battle.wav,7
375,the people were also praying to heaven for protection,the people were also praying to have in for protection,audio_generated/tts2024-03-13--08-38-57/the people were also praying to heaven for protection.wav,3
376,the old man gave a signal and everyone stood,the old man gave a signal and everyone stirred,audio_generated/tts2024-03-13--08-38-57/the old man gave a signal and everyone stood.wav,4
377,camels are traitorous they walk thousands of paces and never seem to tire,camels are a traitor as they walk thousands of paces and never seem to time,audio_generated/tts2024-03-13--08-38-57/camels are traitorous they walk thousands of paces and never seem to tire.wav,5
378,if i dont find it i can always go home,if i dont find it i can always go home,audio_generated/tts2024-03-13--08-38-57/if i dont find it i can always go home.wav,0
379,goodbye said the boy,goodbye said the ball,audio_generated/tts2024-03-13--08-38-57/goodbye said the boy.wav,3
380,that woman is gonna be on that roof,that woman is gone on that room,audio_generated/tts2024-03-13--08-38-57/that woman is gonna be on that roof.wav,5
381,besides that there was a heap of bicycles,besides that there was a heap of bicycles,audio_generated/tts2024-03-13--08-38-57/besides that there was a heap of bicycles.wav,0
382,is there a mrs joshua,is there a mrs jussian,audio_generated/tts2024-03-13--08-38-57/is there a mrs joshua.wav,4
383,and it goes for you too,and it goes for you,audio_generated/tts2024-03-13--08-38-57/and it goes for you too.wav,4
384,suddenly there is so much more time in a day because she no longer has to spend hours commuting,suddenly there is so much more time in a day because she no longer has to spend hours community,audio_generated/tts2024-03-13--08-38-57/suddenly there is so much more time in a day because she no longer has to spend hours commuting.wav,3
385,they mounted their horses,they mounted their horses,audio_generated/tts2024-03-13--08-38-57/they mounted their horses.wav,0
386,never give up,never give up other,audio_generated/tts2024-03-13--08-38-57/never give up.wav,6
387,ive got the party here,i thought the party here is ea,audio_generated/tts2024-03-13--08-38-57/ive got the party here.wav,12
388,the next thing the dope wants is a room,the next thing the dope wants is a roar,audio_generated/tts2024-03-13--08-38-57/the next thing the dope wants is a room.wav,2
389,what did he buy a paper for,what did he buy a paper for,audio_generated/tts2024-03-13--08-38-57/what did he buy a paper for.wav,0
390,will you trust him that he does it right,while you trust him that he does it right,audio_generated/tts2024-03-13--08-38-57/will you trust him that he does it right.wav,2
391,you can count on me under one condition,you can count on me under one condition,audio_generated/tts2024-03-13--08-38-57/you can count on me under one condition.wav,0
392,it brought his heart into his mouth,it brought his heart into his mouth,audio_generated/tts2024-03-13--08-38-57/it brought his heart into his mouth.wav,0
393,the idea frightened him,the idea of freight intent,audio_generated/tts2024-03-13--08-38-57/the idea frightened him.wav,12
394,somebodys driving this cab,some bodies driving this camp,audio_generated/tts2024-03-13--08-38-57/somebodys driving this cab.wav,5
395,and for wise men gold is the metal that evolved the furthest,and for wise men gold is the metal that evolved the furthest,audio_generated/tts2024-03-13--08-38-57/and for wise men gold is the metal that evolved the furthest.wav,0
396,the fire burned the fox,the fire burned the fact thought,audio_generated/tts2024-03-13--08-38-57/the fire burned the fox.wav,10
397,when i returned to the common the sun was setting,when i returned to the calm in the sun were setting,audio_generated/tts2024-03-13--08-38-57/when i returned to the common the sun was setting.wav,7
398,i dont understand what youre talking about the desert said,i dont understand what youre talking about the desert set,audio_generated/tts2024-03-13--08-38-57/i dont understand what youre talking about the desert said.wav,3
399,and in that mood he was grateful to be in love,and in that mood he was grateful to be alone,audio_generated/tts2024-03-13--08-38-57/and in that mood he was grateful to be in love.wav,4
400,i aint seen him for a week,i aim to see him for a week,audio_generated/tts2024-03-13--08-38-57/i aint seen him for a week.wav,4
401,when doing reinforcement learning we have to find a suitable tradeoff between exploration and exploitation,when doing reinforcement learning we have to find a suitable tradeoff between exploration and exploitation,audio_generated/tts2024-03-13--08-38-57/when doing reinforcement learning we have to find a suitable tradeoff between exploration and exploitation.wav,0
402,they forgot that lead copper and iron have their own destinies to fulfill,they forgot that late copper and iron have their own destinies to full full of,audio_generated/tts2024-03-13--08-38-57/they forgot that lead copper and iron have their own destinies to fulfill.wav,9
403,from the railway station in the distance came the sound of trains ringing and rumbling,from the railway station in the distance came the sound of trains ringing and rumbling,audio_generated/tts2024-03-13--08-38-57/from the railway station in the distance came the sound of trains ringing and rumbling.wav,0
404,is daddy in trouble,is daddy in trouble gordon,audio_generated/tts2024-03-13--08-38-57/is daddy in trouble.wav,7
405,that is an antelope my son,that is an antelope my son,audio_generated/tts2024-03-13--08-38-57/that is an antelope my son.wav,0
406,its extremely suspicious that theres no information about brains that didnt come from a brain,its extremely suspicious that theres no information about brains that didnt come from a brain,audio_generated/tts2024-03-13--08-38-57/its extremely suspicious that theres no information about brains that didnt come from a brain.wav,0
407,the boy awoke before dawn,the boy will look before down,audio_generated/tts2024-03-13--08-38-57/the boy awoke before dawn.wav,9
408,i feel like a bootlegger,i feel like a bullplayer,audio_generated/tts2024-03-13--08-38-57/i feel like a bootlegger.wav,7
409,why did you want to see me the boy asked,why did you want to see me the boy asked,audio_generated/tts2024-03-13--08-38-57/why did you want to see me the boy asked.wav,0
410,thats why im quitting,thats why im quitting,audio_generated/tts2024-03-13--08-38-57/thats why im quitting.wav,0
411,who is your favourite author,who was your favorite old,audio_generated/tts2024-03-13--08-38-57/who is your favourite author.wav,9
412,of course the two were unable to do anything,of course the two are unable to do anything,audio_generated/tts2024-03-13--08-38-57/of course the two were unable to do anything.wav,2
413,there are powerful forces on both sides and the war is important to both armies,there are powerful forces on both sides and the war is important to both our main and the regime,audio_generated/tts2024-03-13--08-38-57/there are powerful forces on both sides and the war is important to both armies.wav,19
414,would you like to see where i was tattooed,would you like to see where i was headed,audio_generated/tts2024-03-13--08-38-57/would you like to see where i was tattooed.wav,6
415,there are only eight flags up there now,there are only eight lines of fair name,audio_generated/tts2024-03-13--08-38-57/there are only eight flags up there now.wav,13
416,if you can concentrate always on the present youll be a happy man,if he can concentrate always on the present hell be a happy man,audio_generated/tts2024-03-13--08-38-57/if you can concentrate always on the present youll be a happy man.wav,6
417,the shop is exactly the size i always wanted it to be,the shop is exactly the size i always wanted it to be,audio_generated/tts2024-03-13--08-38-57/the shop is exactly the size i always wanted it to be.wav,0
418,the crowd swayed a little as i elbowed my way through,the crowds wait a little less i upload my way through,audio_generated/tts2024-03-13--08-38-57/the crowd swayed a little as i elbowed my way through.wav,13
419,the article should contain url where the dataset can be downloaded,the article should contain or where the dataset can be downloaded,audio_generated/tts2024-03-13--08-38-57/the article should contain url where the dataset can be downloaded.wav,2
420,but hes on the right track,but heres on the right track,audio_generated/tts2024-03-13--08-38-57/but hes on the right track.wav,2
421,ive handled a good many big promotions in my time,i handle the good manybead promotions in my time,audio_generated/tts2024-03-13--08-38-57/ive handled a good many big promotions in my time.wav,10
422,its only a few words mumbled over you by a judge,its only a few words mumbled over you by a joke,audio_generated/tts2024-03-13--08-38-57/its only a few words mumbled over you by a judge.wav,3
423,we had to rush down the minute it happened,we had to rush down the minute it happened,audio_generated/tts2024-03-13--08-38-57/we had to rush down the minute it happened.wav,0
424,how much is your equity in it,how much is your equity and intent,audio_generated/tts2024-03-13--08-38-57/how much is your equity in it.wav,6
425,we cannot forget that farce,we cannot forget that thought,audio_generated/tts2024-03-13--08-38-57/we cannot forget that farce.wav,7
426,if i had told you you wouldnt have seen the pyramids,if i had told you would have seen the pyramid,audio_generated/tts2024-03-13--08-38-57/if i had told you you wouldnt have seen the pyramids.wav,7
427,but there was something there in his heart that wouldnt allow him to do so,but there was something there in his heart that would allow him to do so,audio_generated/tts2024-03-13--08-38-57/but there was something there in his heart that wouldnt allow him to do so.wav,2
428,you shouldnt be here the alchemist answered,you shouldnt be here the lchemist answers,audio_generated/tts2024-03-13--08-38-57/you shouldnt be here the alchemist answered.wav,3
429,and he wasnt faring much better,and he wasnt very much bad,audio_generated/tts2024-03-13--08-38-57/and he wasnt faring much better.wav,10
430,he noticed the unequal cooling of its surface,he noticed the unequal cooling of its surface,audio_generated/tts2024-03-13--08-38-57/he noticed the unequal cooling of its surface.wav,0
431,the boy put the stones in his pouch,the boy put the stones in his palms,audio_generated/tts2024-03-13--08-38-57/the boy put the stones in his pouch.wav,4
432,how do you like it,have you liked it,audio_generated/tts2024-03-13--08-38-57/how do you like it.wav,6
433,if i told you it might not come true,if i told you might not come true,audio_generated/tts2024-03-13--08-38-57/if i told you it might not come true.wav,3
434,but maybe ill never have another chance to get to the pyramids in egypt,but may ill never have another chance to get to the pyramids in egypt,audio_generated/tts2024-03-13--08-38-57/but maybe ill never have another chance to get to the pyramids in egypt.wav,2
435,he called to the boy and they took a walk along the dunes surrounding the encampment,he called to the boy and they took a walk along the doos surrounding the encampment,audio_generated/tts2024-03-13--08-38-57/he called to the boy and they took a walk along the dunes surrounding the encampment.wav,3
436,if a person is living out his destiny he knows everything he needs to know,if a person is living out his destiny he knows everything he needs to know,audio_generated/tts2024-03-13--08-38-57/if a person is living out his destiny he knows everything he needs to know.wav,0
437,no one seemed to have thought about it that night,no one seemed to have thought about it that night,audio_generated/tts2024-03-13--08-38-57/no one seemed to have thought about it that night.wav,0
438,then one day the boy returned the books to the englishman,then one day the boy returned the books to the english,audio_generated/tts2024-03-13--08-38-57/then one day the boy returned the books to the englishman.wav,3
439,didnt you tell her,do the tail,audio_generated/tts2024-03-13--08-38-57/didnt you tell her.wav,13
440,the battles may last for a long time perhaps even years,the battles may last for a long time perhaps even years,audio_generated/tts2024-03-13--08-38-57/the battles may last for a long time perhaps even years.wav,0
441,the alchemist was a bit daunting but as the boy drank the wine he relaxed,the alchemist was a bit daunting but as the boy drank the wine he relaxed,audio_generated/tts2024-03-13--08-38-57/the alchemist was a bit daunting but as the boy drank the wine he relaxed.wav,0
442,so the wind blew with all its strength and the sky was filled with sand,so the wine blew with all its strength and the sky was filled with sanded,audio_generated/tts2024-03-13--08-38-57/so the wind blew with all its strength and the sky was filled with sand.wav,3
443,i want to see the chieftains,i want to see the chieftains,audio_generated/tts2024-03-13--08-38-57/i want to see the chieftains.wav,0
444,upon returning to the wise man he related in detail everything he had seen,upon returning to the wise man he related in detail everything he had seen,audio_generated/tts2024-03-13--08-38-57/upon returning to the wise man he related in detail everything he had seen.wav,0
445,but he appeared to be unaware of any danger,but he appeared to be unaware of any danger,audio_generated/tts2024-03-13--08-38-57/but he appeared to be unaware of any danger.wav,0
446,the families will be here soon,the families will be here soon,audio_generated/tts2024-03-13--08-38-57/the families will be here soon.wav,0
447,everyone when they are young knows what their destiny is,everyone when they are young knows what their destinies,audio_generated/tts2024-03-13--08-38-57/everyone when they are young knows what their destiny is.wav,3
448,im going to tell your mother on you,in going to tell your mother on yearning,audio_generated/tts2024-03-13--08-38-57/im going to tell your mother on you.wav,8
449,the arrow was pointing to the exit,the arrow was pointing to the xaxis,audio_generated/tts2024-03-13--08-38-57/the arrow was pointing to the exit.wav,3
450,what is it about,what is it about,audio_generated/tts2024-03-13--08-38-57/what is it about.wav,0
451,the boy became fearful the omens told him that something was wrong,the boy became fearful the romans told him that something was wrong,audio_generated/tts2024-03-13--08-38-57/the boy became fearful the omens told him that something was wrong.wav,2
452,we know that and we are used to it,we know that and we are used to these,audio_generated/tts2024-03-13--08-38-57/we know that and we are used to it.wav,5
453,the news was chilling to say the least,the news was chilling to say the least,audio_generated/tts2024-03-13--08-38-57/the news was chilling to say the least.wav,0
454,at that point the omens will tell you that your treasure is buried forever,at that point the omens will tell you that your treasure is buried forever,audio_generated/tts2024-03-13--08-38-57/at that point the omens will tell you that your treasure is buried forever.wav,0
455,in spite of this i still believed that there were men in mars,in spite of this i still believe that there were men in mars,audio_generated/tts2024-03-13--08-38-57/in spite of this i still believed that there were men in mars.wav,1
456,im sure shell be all right,in sure shall we all write,audio_generated/tts2024-03-13--08-38-57/im sure shell be all right.wav,7
457,i wanted them to be a part of your inheritance,i wanted them to be a part of your inheritance,audio_generated/tts2024-03-13--08-38-57/i wanted them to be a part of your inheritance.wav,0
458,he appeared with the first stars of evening,he appeared with the first stars of eden,audio_generated/tts2024-03-13--08-38-57/he appeared with the first stars of evening.wav,4
459,i didnt know shepherds knew how to read said a girls voice behind him,i didnt know shepards new how to reach set of girls voice behind him,audio_generated/tts2024-03-13--08-38-57/i didnt know shepherds knew how to read said a girls voice behind him.wav,10
460,and he asked the boy if he too were in search of the alchemist,and he asked the boy et he wore in search of the alchemist,audio_generated/tts2024-03-13--08-38-57/and he asked the boy if he too were in search of the alchemist.wav,7
461,im not going very far the alchemist answered looking straight into the eyes of the horsemen,in not going very far the alchemist answered looking straight into the eyes of the horsemen,audio_generated/tts2024-03-13--08-38-57/im not going very far the alchemist answered looking straight into the eyes of the horsemen.wav,1
462,i wanted to sleep a little longer he thought,i wanted to sleep a little longer he thought,audio_generated/tts2024-03-13--08-38-57/i wanted to sleep a little longer he thought.wav,0
463,its a man who understands nature and the world,its a man who understands nature in the world,audio_generated/tts2024-03-13--08-38-57/its a man who understands nature and the world.wav,2
464,turning the air conditioning on leads to an increased fuel consumption,turning the air conditioning on lead to an increased fuel consumption,audio_generated/tts2024-03-13--08-38-57/turning the air conditioning on leads to an increased fuel consumption.wav,1
465,not until the moon was high did the alchemist ride into view,not until the moon was high did the alchemist right into v,audio_generated/tts2024-03-13--08-38-57/not until the moon was high did the alchemist ride into view.wav,6
466,thats true the boy thought,thats true the boy thorough,audio_generated/tts2024-03-13--08-38-57/thats true the boy thought.wav,3
467,its the philosophy that guarantees everyones freedom,its the philosophy that guarantees everyones freedom,audio_generated/tts2024-03-13--08-38-57/its the philosophy that guarantees everyones freedom.wav,0
468,if good things are coming they will be a pleasant surprise said the seer,if good things are coming they will be a pleasant surprise to see,audio_generated/tts2024-03-13--08-38-57/if good things are coming they will be a pleasant surprise said the seer.wav,8
469,i wouldnt live in it as a ghost,i would live in it as a ghost,audio_generated/tts2024-03-13--08-38-57/i wouldnt live in it as a ghost.wav,2
470,tell your heart that the fear of suffering is worse than the suffering itself,tell your heart that the fear of suffering is worse than the suffering itself,audio_generated/tts2024-03-13--08-38-57/tell your heart that the fear of suffering is worse than the suffering itself.wav,0
471,but theyre somebodys children,but their somebodys children,audio_generated/tts2024-03-13--08-38-57/but theyre somebodys children.wav,2
472,and there you were in bed,and there you were in bed,audio_generated/tts2024-03-13--08-38-57/and there you were in bed.wav,0
473,the hydrogen gas escaped,the hydrogen gas escape,audio_generated/tts2024-03-13--08-38-57/the hydrogen gas escaped.wav,1
474,the tribal chieftains will see that and youll be dismissed from your position as counselor,the tribal chiefs will see that a new will be dismissed from your position as councilor,audio_generated/tts2024-03-13--08-38-57/the tribal chieftains will see that and youll be dismissed from your position as counselor.wav,12
475,too bad i couldnt see this guy first,to bed i could see this guy first,audio_generated/tts2024-03-13--08-38-57/too bad i couldnt see this guy first.wav,4
476,he said he couldnt have handled it better himself,he said he couldnt have handled it better himself,audio_generated/tts2024-03-13--08-38-57/he said he couldnt have handled it better himself.wav,0
477,i wonder whats keeping mother,i wonder whats keeping mother,audio_generated/tts2024-03-13--08-38-57/i wonder whats keeping mother.wav,0
478,one is loved because one is loved,one is love because one is love,audio_generated/tts2024-03-13--08-38-57/one is loved because one is loved.wav,2
479,he decided to stay right there and await his return,he decided to stay right there and wait his return,audio_generated/tts2024-03-13--08-38-57/he decided to stay right there and await his return.wav,1
480,thats why i feel that i deserve a part of what you find,thats why i feel that i deserve a part of what you find,audio_generated/tts2024-03-13--08-38-57/thats why i feel that i deserve a part of what you find.wav,0
481,as the sun rose the men began to beat the boy,as the sun rose the men began to beat the bull for bulk,audio_generated/tts2024-03-13--08-38-57/as the sun rose the men began to beat the boy.wav,11
482,what do you mean by that,what do you mean bob,audio_generated/tts2024-03-13--08-38-57/what do you mean by that.wav,6
483,given only the public key it is very hard to compute the private one,given only the public key is very hard to compute the private one,audio_generated/tts2024-03-13--08-38-57/given only the public key it is very hard to compute the private one.wav,3
484,its the oasis said the camel driver,its the ice is said the camel driver,audio_generated/tts2024-03-13--08-38-57/its the oasis said the camel driver.wav,4
485,we have also started contemplating the possibility of moving back to colorado,we have also started contemplating the possibility of moving back to color rival,audio_generated/tts2024-03-13--08-38-57/we have also started contemplating the possibility of moving back to colorado.wav,6
486,and he looked out over the desert that had brought him to the woman he loved,and he looked out over the desert to had brought him to the woman he loved,audio_generated/tts2024-03-13--08-38-57/and he looked out over the desert that had brought him to the woman he loved.wav,3
487,every search begins with beginners luck,every search begins with beginners love,audio_generated/tts2024-03-13--08-38-57/every search begins with beginners luck.wav,3
488,he came to understand its dodges and tricks and to accept it as it was,he came to understand its dodges and tricks and to accept it as it was,audio_generated/tts2024-03-13--08-38-57/he came to understand its dodges and tricks and to accept it as it was.wav,0
489,why you lied to me,why you love,audio_generated/tts2024-03-13--08-38-57/why you lied to me.wav,7
490,there was a small building there with a window at which people bought tickets to africa,there was a small building there with a window at which people bought tickets to africa,audio_generated/tts2024-03-13--08-38-57/there was a small building there with a window at which people bought tickets to africa.wav,0
491,the caravan moved toward the east,the caravan moved toward the east,audio_generated/tts2024-03-13--08-38-57/the caravan moved toward the east.wav,0
492,it was seen early in the morning rushing over eastward,it was seen early in the morning rushing over his stored,audio_generated/tts2024-03-13--08-38-57/it was seen early in the morning rushing over eastward.wav,7
493,but im going to egypt the boy said,but im going to eat up the voices,audio_generated/tts2024-03-13--08-38-57/but im going to egypt the boy said.wav,12
494,youve resented me from the first moment you saw me,youve resented me from the first moment you saw me,audio_generated/tts2024-03-13--08-38-57/youve resented me from the first moment you saw me.wav,0
495,the sheep had taught him that,the sheep had taught him that,audio_generated/tts2024-03-13--08-38-57/the sheep had taught him that.wav,0
496,you dont have to apologize,you dont have to apologize and choirs,audio_generated/tts2024-03-13--08-38-57/you dont have to apologize.wav,11
497,im a sucker for it,in a sucker for it,audio_generated/tts2024-03-13--08-38-57/im a sucker for it.wav,1
498,this was my destiny not yours the alchemist answered,this was my destiny not yours the alchemist answers,audio_generated/tts2024-03-13--08-38-57/this was my destiny not yours the alchemist answered.wav,2
499,darren never saw a bottle till he was six months old,darwin never saw a bottle till he was six months old,audio_generated/tts2024-03-13--08-38-57/darren never saw a bottle till he was six months old.wav,2
500,i missed you and i couldnt call you but i tried,i missed you and i couldnt call you but i tried,audio_generated/tts2024-03-13--08-38-57/i missed you and i couldnt call you but i tried.wav,0
501,get the riot gear,its the riot gate,audio_generated/tts2024-03-13--08-38-57/get the riot gear.wav,6
502,like crickets and like expectations like lizards and fourleaf clovers,like crickets and like expectations like lizards and forly flowvermifts,audio_generated/tts2024-03-13--08-38-57/like crickets and like expectations like lizards and fourleaf clovers.wav,10
503,they say its a fake,they say its a fate,audio_generated/tts2024-03-13--08-38-57/they say its a fake.wav,1
504,the boy thought of fatima,the boys thought of fathon,audio_generated/tts2024-03-13--08-38-57/the boy thought of fatima.wav,4
505,i wasnt born yesterday,ive lost a born yesterday,audio_generated/tts2024-03-13--08-38-57/i wasnt born yesterday.wav,7
506,just by looking at them,just by looking at that,audio_generated/tts2024-03-13--08-38-57/just by looking at them.wav,2
507,luke i am your sister,look at how youre a sister,audio_generated/tts2024-03-13--08-38-57/luke i am your sister.wav,11
508,folk is not my favorite music genre,falk is not my favorite music genre,audio_generated/tts2024-03-13--08-38-57/folk is not my favorite music genre.wav,1
509,most meteorites are more or less rounded,most meteorites are more or less rounded,audio_generated/tts2024-03-13--08-38-57/most meteorites are more or less rounded.wav,0
510,i want them both arrested,i want them both arrested,audio_generated/tts2024-03-13--08-38-57/i want them both arrested.wav,0
511,we miss you and miss having a friend like you and i am so happy that you two got to catch up,we miss you and miss having a friend like you and i am so happy that you too got to catch it,audio_generated/tts2024-03-13--08-38-57/we miss you and miss having a friend like you and i am so happy that you two got to catch up.wav,3
512,the tribal chieftain called for the boy and presented him with fifty pieces of gold,the tribal chief then called for the boy and presented him with 50 pieces of gold,audio_generated/tts2024-03-13--08-38-57/the tribal chieftain called for the boy and presented him with fifty pieces of gold.wav,8
513,half an hour later his shovel hit something solid,afinal later his struggle had something solos,audio_generated/tts2024-03-13--08-38-57/half an hour later his shovel hit something solid.wav,19
514,i thought you were going to teach me some of the things you know,i thought you were going to teach me some of the things youre eating,audio_generated/tts2024-03-13--08-38-57/i thought you were going to teach me some of the things you know.wav,8
515,everyone loved them and enjoyed them,everyone love them and enjoy the man there,audio_generated/tts2024-03-13--08-38-57/everyone loved them and enjoyed them.wav,10
516,some went away while i was there and other people came,some went away while i was there and other people came,audio_generated/tts2024-03-13--08-38-57/some went away while i was there and other people came.wav,0
517,wearing his new sandals he descended the stairs silently,wearing his new sandals he descended the stairs sawnti,audio_generated/tts2024-03-13--08-38-57/wearing his new sandals he descended the stairs silently.wav,5
518,these are not camels,these are not countals,audio_generated/tts2024-03-13--08-38-57/these are not camels.wav,5
519,he heard a muffled grating sound and saw the black mark jerk forward an inch or so,he heard a muffled grating sound and saw the black marker for an inch or so,audio_generated/tts2024-03-13--08-38-57/he heard a muffled grating sound and saw the black mark jerk forward an inch or so.wav,7
520,i told you i cant use your column any more,i told you i cant use your column anymore,audio_generated/tts2024-03-13--08-38-57/i told you i cant use your column any more.wav,1
521,you can get around very easily by train  which is a very relaxing and affordable way to travel,you can get around very easily by train which is a very relaxing and affordable way to travel,audio_generated/tts2024-03-13--08-38-57/you can get around very easily by train  which is a very relaxing and affordable way to travel.wav,1
522,you can do a lot just using your voice but there are still a few times youll find yourself reaching for a mouse,you can do a lot just using your voice but there are still a few times youll find yourself reaching for a mouse,audio_generated/tts2024-03-13--08-38-57/you can do a lot just using your voice but there are still a few times youll find yourself reaching for a mouse.wav,0
523,youre the only one who could have it,do you the only one who could have it in,audio_generated/tts2024-03-13--08-38-57/youre the only one who could have it.wav,8
524,but now im sad and alone,but now im sad and alone,audio_generated/tts2024-03-13--08-38-57/but now im sad and alone.wav,0
525,dont you know me,dont you know moorin,audio_generated/tts2024-03-13--08-38-57/dont you know me.wav,5
526,you will never reopen,new will never realper,audio_generated/tts2024-03-13--08-38-57/you will never reopen.wav,6
527,ive had this shop for thirty years,i had this shop for 30 years,audio_generated/tts2024-03-13--08-38-57/ive had this shop for thirty years.wav,8
528,judge may not think so,judge meena thinks same,audio_generated/tts2024-03-13--08-38-57/judge may not think so.wav,9
529,my dog gave her life to save my child,my dog gave her life to save my child,audio_generated/tts2024-03-13--08-38-57/my dog gave her life to save my child.wav,0
530,dont try to enter into the life of the oasis,dont try to enter into the life of the oasis,audio_generated/tts2024-03-13--08-38-57/dont try to enter into the life of the oasis.wav,0
531,the treasure is at the pyramids that you already knew,the treasure is at the pyramids that you already,audio_generated/tts2024-03-13--08-38-57/the treasure is at the pyramids that you already knew.wav,5
532,i dont blame you,i dont blame,audio_generated/tts2024-03-13--08-38-57/i dont blame you.wav,4
533,curse the moment i met that old man he thought,kirsten moment down at that old man he thought it was a,audio_generated/tts2024-03-13--08-38-57/curse the moment i met that old man he thought.wav,21
534,the soul of the world is nourished by peoples happiness,the soul of the world is nursed by peoples happy nose and eyes apes,audio_generated/tts2024-03-13--08-38-57/the soul of the world is nourished by peoples happiness.wav,19
535,the snake slithered toward the shaded boulders under the cliff,the snakes littered toward the shaded boulders under the clay,audio_generated/tts2024-03-13--08-38-57/the snake slithered toward the shaded boulders under the cliff.wav,6
536,from here on you will be alone the alchemist said,from here on you will be along the alchemist city,audio_generated/tts2024-03-13--08-38-57/from here on you will be alone the alchemist said.wav,5
537,the boy remembered his dream and suddenly everything was clear to him,the boy remembered his dream and suddenly everything was clear to him,audio_generated/tts2024-03-13--08-38-57/the boy remembered his dream and suddenly everything was clear to him.wav,0
538,it was a pleasant change from talking to his sheep,it was a pleasant change from talking to his sheet,audio_generated/tts2024-03-13--08-38-57/it was a pleasant change from talking to his sheep.wav,1
539,were not allowed to tell,were not allowed to tap,audio_generated/tts2024-03-13--08-38-57/were not allowed to tell.wav,3
540,but they were not there,but they will not bear,audio_generated/tts2024-03-13--08-38-57/but they were not there.wav,7
541,dont you know there are nine jobs waiting for this guy,did you know there are nine jobs waiting for this go,audio_generated/tts2024-03-13--08-38-57/dont you know there are nine jobs waiting for this guy.wav,5
542,no thats not what i mean,no thats not what i mean,audio_generated/tts2024-03-13--08-38-57/no thats not what i mean.wav,0
543,mom took grandma to the garden center to hear the latin names of plants,montecran onto the garden center here the latin names of plants,audio_generated/tts2024-03-13--08-38-57/mom took grandma to the garden center to hear the latin names of plants.wav,16
544,sandra read aloud the strange excerpt,sandra riddle out the strange excerpt,audio_generated/tts2024-03-13--08-38-57/sandra read aloud the strange excerpt.wav,6
545,there was absolutely no reason for her to announce it to the entire company,there was absolutely no reason for her to announce it to the entire company,audio_generated/tts2024-03-13--08-38-57/there was absolutely no reason for her to announce it to the entire company.wav,0
546,the criminals taunted the police officers and prison guards,the criminals taunted the police officers and prison guard,audio_generated/tts2024-03-13--08-38-57/the criminals taunted the police officers and prison guards.wav,1
547,and in that way the months passed,and in that way the months passed,audio_generated/tts2024-03-13--08-38-57/and in that way the months passed.wav,0
548,can you imagine that,can you imagine pan,audio_generated/tts2024-03-13--08-38-57/can you imagine that.wav,3
549,they went in to drink the tea which was served in beautiful crystal glasses,they went into drink the tea which was served in beautiful crystal glasses,audio_generated/tts2024-03-13--08-38-57/they went in to drink the tea which was served in beautiful crystal glasses.wav,1
550,are you certain its not a monster,are you certain its not a monster,audio_generated/tts2024-03-13--08-38-57/are you certain its not a monster.wav,0
551,starting with his own,starting with his own,audio_generated/tts2024-03-13--08-38-57/starting with his own.wav,0
552,thats why i keep losing,thats why i keep losing,audio_generated/tts2024-03-13--08-38-57/thats why i keep losing.wav,0
